smiles,freesolv,split
c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52,train
CCCCCCl,-0.1,train
CC(C)COC(=O)C,-2.36,train
CCC(C)(C)C,2.51,train
c1cc(ccc1N)N(=O)=O,-9.82,train
COC(=O)CC#N,-6.72,train
COc1ccc(cc1)N,-7.48,train
CC(C)Cc1ccccc1,0.16,train
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16,test
CN,-4.55,train
c1ccc(c(c1)O)Cl,-4.55,train
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53,val
C(=C\Cl)\Cl,-1.17,train
CCCCC(=O)C,-3.28,train
C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73,train
c1ccc(c(c1)O)F,-5.29,train
Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41,train
C=Cc1ccccc1,-1.24,train
CCOP(=O)(OCC)OCC,-7.5,train
C(C(F)(F)F)O,-4.31,train
CCCCOC[C@H](C)O,-5.73,train
CCCO,-4.85,train
Cc1ccccc1C,-0.9,train
CC(C)(C)C,2.51,train
CCCC#C,0.01,train
c1ccc2c(c1)C(=O)NC2=O,-9.61,test
CCCCI,-0.25,train
Cc1ccc(cc1)O,-6.13,train
CC(C)I,-0.46,train
COc1ccccc1O,-5.94,train
C1CC=CC1,0.56,val
C[C@H](C(F)(F)F)O,-4.2,train
CCCN,-4.39,train
c1ccc(c(c1)[N+](=O)[O-])O,-4.58,train
Cc1cccc2c1cccc2,-2.44,train
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33,train
CCCCC/C=C/C=O,-3.43,train
CCCCCCC#C,0.71,train
CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48,train
CCCCCCCC(=O)OC,-2.04,train
C1CCNC1,-5.48,train
c1cc(ccc1C=O)O,-8.83,train
CCCCCCCCl,0.29,train
C1COCCO1,-5.06,train
